Geneid_Ls,Transcript_ID,Treatment_logFC,Treatment_pvalue,Interaction_logFC,Interaction_pvalue,A_4_logFC,A_4_pvalue,A_1_logFC,A_1_pvalue
15767,XM_037965062.1,0.420859279,0.778481566,-0.042021777,0.984045998,0.400881639,0.559146053,0.453701335,0.798926068
15768,XM_037965063.1,0.052132747,0.963867532,-0.18408518,0.705726368,-0.036192531,0.86997764,0.151301254,0.798926068
15769,XM_037965064.1,-0.376195312,0.93395576,-0.672451808,0.802836935,-0.677153226,0.705704219,0.004438218,0.998840998
15770,XM_037965065.1,-0.114514318,0.907373239,0.181800045,0.789500331,-0.034101081,0.889583348,-0.219276125,0.798926068
15771,XM_037965066.1,0.216956084,0.998595756,-1.310249123,0.783240591,-0.491860819,0.856431016,0.834758404,0.798926068
15772,XM_037965067.1,0.012261198,0.998595756,-0.034696816,0.974730983,-0.004421015,0.989316012,0.02581618,0.973724702
15773,XM_037965068.1,-0.107415183,0.920585129,0.147374305,0.856501408,-0.040836237,0.887328222,-0.188455217,0.798926068
15774,XM_037965069.1,0.072823899,0.998595756,0.639363466,0.705726368,0.364434887,0.705704219,-0.266768372,0.829226784
15775,XM_037965070.1,0.096473741,0.966740793,0.047211672,0.971480895,0.117677927,0.705704219,0.078964892,0.928518171
15776,XM_037965071.1,-0.258120265,0.979076557,0.209302084,0.963609416,-0.171048543,0.922819843,-0.373075712,0.873181308
15777,XM_037965072.1,-0.229459353,0.961991768,0.268659767,0.918811664,-0.097839445,0.939468241,-0.367362386,0.798926068
15778,XM_037965073.1,1.12987865,0.75708309,-0.511629917,0.909135549,0.873521153,0.705704219,1.377746951,0.798926068
15779,XM_037965074.1,-0.060446606,0.966740793,-0.090929014,0.891554719,-0.103887338,0.705704219,-0.011474361,0.982422514
15780,XM_037965075.1,-0.080437903,0.896986607,-0.052384344,0.940628015,-0.105999014,0.70242416,-0.052089957,0.891428842
15781,XM_037965076.1,-0.025487315,0.998595756,-0.660776455,0.705726368,-0.343540064,0.672235858,0.318927137,0.798926068
15782,XM_037965077.1,0.16743032,0.924694576,0.286330765,0.800206839,0.296488999,0.705704219,0.014225505,0.986362474
15783,XM_037965078.1,0.026473002,0.998595756,0.705704665,0.705726368,0.306838156,0.705704219,-0.396562554,0.798926068
15784,XM_037965079.1,-0.222412436,0.763392162,-0.036601392,0.973627055,-0.241221606,0.475189022,-0.207576662,0.798926068
15785,XM_037965080.1,-0.100460069,0.906587991,-0.039824975,0.965009794,-0.117752846,0.705704219,-0.07474052,0.866439063
15786,XM_037965081.1,-0.012448602,0.998595756,-0.733577396,0.705726368,-0.365809065,0.674287192,0.375955223,0.798926068
15787,XM_037965082.1,-0.01810373,0.998595756,-0.099974461,0.768360492,-0.067704779,0.705704219,0.034823949,0.912453828
15788,XM_037965083.1,-0.077547986,0.998595756,1.234112369,0.705726368,0.552603057,0.705704219,-0.67168186,0.798926068
15789,XM_037965084.1,0.072653965,0.97884941,-0.3475176,0.705726368,-0.092763199,0.705704219,0.257609323,0.798926068
15790,XM_037965085.1,0.093518745,0.880982412,0.100914469,0.859779214,0.143158438,0.705704219,0.045943128,0.895581649
15791,XM_037965086.1,0.36904935,0.985769154,1.42443115,0.72382011,0.999461139,0.705704219,-0.430059071,0.880668764
15792,XM_037965087.1,0.023853352,0.998595756,0.237884583,0.890836231,0.125334648,0.871547425,-0.111824307,0.912240782
15793,XM_037965088.1,-0.78220723,0.918959477,2.543466133,0.705726368,0.439133963,0.892128625,-2.083850629,0.798926068
15794,XM_037965089.1,-0.905063823,0.812446313,1.126211919,0.714051146,-0.289094576,0.866443567,-1.437190651,0.798926068
15795,XM_037965090.1,-0.49377767,0.939838355,-0.677335068,0.87385281,-0.766925809,0.705704219,-0.104124042,0.977808298
15796,XM_037965091.1,0.126639071,0.975557343,-0.078686131,0.963609416,0.085949525,0.892349661,0.17270769,0.836904938
15797,XM_037965092.1,-0.071233716,0.919758328,0.107354151,0.826290929,-0.01936605,0.933206861,-0.126787345,0.798926068
15798,XM_037965093.1,0.327483736,0.97884941,-0.842878449,0.7903048,-0.109072031,0.945009508,0.773138976,0.798926068
15799,XM_037965094.1,-0.095500099,0.945142511,0.199676425,0.763010855,-0.006085545,0.987181211,-0.208758678,0.798926068
15800,XM_037965095.1,-0.038003431,0.998595756,0.103401413,0.909713993,0.008415053,0.980921319,-0.090801372,0.850796051
15801,XM_037965096.1,-0.342837013,0.964703059,1.531816774,0.705726368,0.470120374,0.742916632,-1.088860365,0.798926068
15802,XM_037965097.1,0.000691851,0.998595756,-0.191464493,0.705726368,-0.092763199,0.705704219,0.10721841,0.798926068
15803,XM_037965098.1,0.000691851,0.998595756,-0.191464493,0.705726368,-0.092763199,0.705704219,0.10721841,0.798926068
15804,XM_037965099.1,0.000691851,0.998595756,-0.191464493,0.705726368,-0.092763199,0.705704219,0.10721841,0.798926068
15805,XM_037965100.1,-0.264592801,0.987247446,0.907746797,0.792913345,0.186334874,0.929444799,-0.731203867,0.798926068
15806,XM_037965101.1,-0.02841643,0.998595756,-1.034928296,0.705726368,-0.5132775,0.705704219,0.531619727,0.798926068
15807,XM_037965102.1,0.026367644,0.998595756,-0.669725694,0.78708763,-0.370659434,0.775549452,0.326834982,0.814387435
15808,XM_037965103.1,-0.19239274,0.906587991,-0.58621731,0.705726368,-0.495429712,0.669423498,0.10721841,0.798926068
15809,XM_037965104.1,-0.168672679,0.975557343,0.593815992,0.705726368,0.088599292,0.927279566,-0.50353607,0.798926068
15810,XM_037965105.1,-0.020486396,0.998595756,-0.041504896,0.985148514,-0.032007012,0.969490555,0.014394027,0.990786235
15811,XM_037965106.1,-0.059116249,0.998595756,0.297330045,0.796740516,0.082557854,0.716240509,-0.208311463,0.798926068
15812,XM_037965107.1,0.068311509,0.959237349,-0.019686996,0.979916558,0.058128054,0.72046023,0.082123779,0.818584624
15813,XM_037965108.1,0.278596149,0.778481566,-0.471269799,0.705726368,0.082883623,0.809300762,0.561809654,0.798926068
15814,XM_037965109.1,-0.048351112,0.998595756,0.795897856,0.913971774,0.361611492,0.924939194,-0.444960666,0.890086976
15815,XM_037965110.1,0.107856361,0.852319369,-0.204206679,0.705726368,0.005664852,0.982209189,0.212986538,0.798926068
15816,XM_037965111.1,-0.685229348,0.974746439,-0.41614129,0.964038867,-0.893283986,0.759776596,-0.494075109,0.914632696
15817,XM_037965112.1,-0.029322916,0.97884941,-0.169871681,0.705726368,-0.114130578,0.654683834,0.058314665,0.798926068
15818,XM_037965113.1,-0.092587619,0.965021673,0.045666509,0.971480895,-0.073092559,0.844723921,-0.125204884,0.834039147
15819,XM_037965114.1,0.000691851,0.998595756,-0.191464493,0.705726368,-0.092763199,0.705704219,0.10721841,0.798926068
15820,XM_037965115.1,0.119437435,0.926719097,-0.154807473,0.871861997,0.050865577,0.902780033,0.213406684,0.798926068
15821,XM_037965116.1,0.069659664,0.975089225,0.163994668,0.799453981,0.14728984,0.700089841,-0.014622784,0.981158598
15822,XM_037965117.1,0.067762478,0.998595756,-0.005764944,0.996899336,0.064060769,0.894898157,0.07966604,0.921776332
15823,XM_037965118.1,0.128672998,0.89471154,-0.079545254,0.945741181,0.096865115,0.754330913,0.180296106,0.798926068
15824,XM_037965119.1,-0.121331639,0.963867532,0.064469645,0.96529444,-0.092763199,0.705704219,-0.148760842,0.878234319
15825,XM_037965120.1,0.22683279,0.97884941,-1.355180364,0.705726368,-0.504886309,0.705704219,0.847450338,0.798926068
15826,XM_037965121.1,0.111819318,0.985813746,0.360158635,0.811923248,0.28614072,0.705704219,-0.062177437,0.961452802
15827,XM_037965122.1,-0.11507324,0.797800583,0.104069186,0.82133733,-0.063900432,0.654683834,-0.166444851,0.798926068
15828,XM_037965123.1,-0.045718748,0.993340416,0.087141608,0.929009147,-0.01071646,0.970317195,-0.100806195,0.846585803
15829,XM_037965124.1,-0.028608152,0.998595756,0.47510005,0.705726368,0.172289169,0.797145263,-0.297278794,0.798926068
15830,XM_037965125.1,-0.058413595,0.979076557,-0.071877558,0.948013376,-0.094379136,0.705704219,-0.017729734,0.978592336
15831,XM_037965126.1,-0.143408775,0.97884941,0.21107963,0.932426027,-0.030354531,0.979503943,-0.23609291,0.798926068
15832,XM_037965127.1,0.413538748,0.842280392,0.153780605,0.957453081,0.510713367,0.705704219,0.348466309,0.798926068
15833,XM_037965128.1,0.000691851,0.998595756,-0.191464493,0.705726368,-0.092763199,0.705704219,0.10721841,0.798926068
15834,XM_037965129.1,0.00534039,0.998595756,-0.210186006,0.877406635,-0.095109749,0.889535282,0.115384324,0.880430848
15835,XM_037965130.1,-0.002541755,0.998595756,-0.419509054,0.781514036,-0.198192206,0.705704219,0.227490299,0.849816629
15836,XM_037965131.1,-0.031998633,0.998595756,0.462135973,0.705726368,0.202422738,0.705704219,-0.259454026,0.798926068
15837,XM_037965132.1,0.20070989,0.945315754,-0.398503773,0.787190989,0.028984531,0.965419355,0.442121571,0.798926068
15838,XM_037965133.1,0.307811382,0.763392162,-0.459488517,0.705726368,0.095123374,0.842532858,0.559046034,0.798926068
15839,XM_037965134.1,0.095986405,0.963867532,0.102429128,0.934750029,0.135537885,0.705704219,0.041797978,0.950733007
15840,XM_037965135.1,-0.136584005,0.763392162,0.037602554,0.95551946,-0.118815138,0.61392535,-0.156030404,0.798926068
